trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.005, 'e': 0.6332895014884152}",25,0,-82.34760661178699,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
179,False,"{'a': 0.005, 'e': 0.6294120265736969}",20,0,-33.81444430303867,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
180,False,"{'a': 0.005, 'e': 0.625518816391096}",20,0,-51.62489814104019,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",1
181,False,"{'a': 0.005, 'e': 0.6216099682706644}",35,20,-8.99581339494231,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
182,False,"{'a': 0.005, 'e': 0.6176855799334016}",30,0,-98.25002845589276,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
183,False,"{'a': 0.005, 'e': 0.6137457494888116}",30,0,-21.312459844385838,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
184,False,"{'a': 0.005, 'e': 0.6097905754324501}",20,15,-2.0340085969093598,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.005, 'e': 0.6058201566434628}",25,0,-22.165365219941066,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",1
186,False,"{'a': 0.005, 'e': 0.6018345923821126}",30,12,-119.92926571827078,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 3}",1
187,False,"{'a': 0.005, 'e': 0.5978339822872982}",25,0,-48.1694652222454,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
188,False,"{'a': 0.005, 'e': 0.5938184263740639}",20,0,-10.63634700259103,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
189,False,"{'a': 0.005, 'e': 0.5897880250310982}",25,0,-29.819169849225094,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
190,False,"{'a': 0.005, 'e': 0.5857428790182249}",20,8,-51.12033605075311,"{0: 7, 1: 1, 2: 2, 3: 2, 4: 0}",1
191,False,"{'a': 0.005, 'e': 0.5816830894638835}",25,0,-63.88414963938879,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
192,False,"{'a': 0.005, 'e': 0.5776087578626015}",20,0,-125.50208272886492,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
193,False,"{'a': 0.005, 'e': 0.5735199860724567}",20,0,-100.08408393364547,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
194,False,"{'a': 0.005, 'e': 0.5694168763125309}",20,0,-21.234620191070757,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
195,False,"{'a': 0.005, 'e': 0.5652995311603544}",20,1,-46.24074511436479,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
196,False,"{'a': 0.005, 'e': 0.5611680535493414}",20,12,14.868044979108138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.005, 'e': 0.5570225467662173}",20,0,-146.35981322526624,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
198,False,"{'a': 0.005, 'e': 0.5528631144484356}",30,0,-47.37803662313425,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
199,False,"{'a': 0.005, 'e': 0.5486898605815875}",20,0,-47.503637589719176,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
